Name,Origin_Season,Origin_League,Origin_Team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Debut_Season,PL_Team,PL_Performance,Season_Control
Lucas Pérez,1516,ESP-La Liga,Deportivo La Coruna,0.7147395171537485,0.507339660606076,0.2075119395006633,1617.0,Arsenal,0.3543307086614173,2015
Lucas Pérez,1718,ESP-La Liga,Deportivo La Coruna,0.4504826599928495,0.20883652155510987,0.3185337425892507,1819.0,West Ham,0.5844155844155844,2017
Lucas Torreira,1718,ITA-Serie A,Sampdoria,0.14097744360902256,0.03954247380711866,0.06737745120155071,1819.0,Arsenal,0.1521555367709214,2017
Luciano Vietto,1718,ESP-La Liga,Atletico Madrid,0.34177215189873417,0.1968307701187043,0.18223891350664667,1819.0,Fulham,0.4615384615384615,2017
Ludwig Augustinsson,2021,GER-Bundesliga,Werder Bremen,0.18329938900203666,0.04014797397754525,0.14318079099176706,2223.0,Aston Villa,0.0,2020
Luis Hernández,1516,ESP-La Liga,Sporting Gijon,0.0,0.025990600778580307,0.021320785630942685,1617.0,Leicester,0.0,2015
Lyanco,2021,ITA-Serie A,Torino,0.0,0.07014749748746703,0.016573895924289,2223.0,Southampton,0.15517241379310345,2020
M'Baye Niang,1516,ITA-Serie A,AC Milan,0.6911262798634812,0.303959043604344,0.2322901516784071,1617.0,Watford,0.28169014084507044,2015
Malo Gusto,2223,FRA-Ligue 1,Lyon,0.055693069306930694,0.03439488063455735,0.1664777766996165,2324.0,Chelsea,0.3078677309007982,2022
Manolo Gabbiadini,1516,ITA-Serie A,Napoli,1.3610586011342154,0.6376383494099844,0.20926466692302423,1617.0,Southampton,0.4884667571234736,2015
Manolo Gabbiadini,1617,ITA-Serie A,Napoli,0.5252918287937743,0.4798208474967962,0.008803442943159934,1718.0,Southampton,0.42613636363636365,2016
Manuel Akanji,2021,GER-Bundesliga,Borussia Dortmund,0.07659574468085106,0.07568954338735721,0.007963012388729034,2223.0,Manchester City,0.03961267605633803,2020
Marc Cucurella,2021,ESP-La Liga,Getafe,0.1382488479262673,0.06094657277799972,0.09957876485613634,2223.0,Chelsea,0.1070154577883472,2020
Marc Navarro,1718,ESP-La Liga,Espanyol,0.08166969147005446,0.0500758037735081,0.06898311577389142,1819.0,Watford,0.0,2017
