Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control
Douglas Luiz,1819,ESP-La Liga,Girona,0.0,0.06286421102104765,0.03605949060257637,Aston Villa,0.17294388931591084,0.19203614798079638,-0.019092258664885536,2018
Duje Caleta-Car,2021,FRA-Ligue 1,Marseille,0.0957107408720312,0.033363095002340665,0.04393975881318892,Southampton,0.09503695881731784,0.17380204241948155,-0.07876508360216371,2020
Edinson Cavani,1920,FRA-Ligue 1,Paris Saint Germain,0.7588532883642496,1.3013247220853932,0.16588174346928652,Manchester United,0.8634686346863468,0.37366951007775345,0.4897991246085934,2019
Edouard Mendy,1920,FRA-Ligue 1,Rennes,0.0,0.0,0.0,Chelsea,0.0,0.2515188335358445,-0.2515188335358445,2019
Eliaquim Mangala,1617,ESP-La Liga,Valencia,0.06805293005671077,0.08970189615661571,0.0030417029476515053,Everton,0.0,0.17062133072407043,-0.17062133072407043,2016
Emerson,1617,ITA-Serie A,Roma,0.04575495678698526,0.02607457429723626,0.10877781209072367,Chelsea,0.3249097472924188,0.2718401486988848,0.053069598593533995,2016
Emerson,1920,ESP-La Liga,Real Betis,0.28491030601477313,0.05770791198821124,0.17010543321141716,Chelsea,0.0,0.2515188335358445,-0.2515188335358445,2019
Emerson,2021,ESP-La Liga,Real Betis,0.15010006671114076,0.041966447963927934,0.09562597994949219,Tottenham,0.15579919215233698,0.2896913911398481,-0.13389219898751112,2020
Emil Krafth,1819,FRA-Ligue 1,Amiens,0.0605245460659045,0.020491102414121744,0.09173363470989102,Newcastle United,0.087890625,0.18125747372395998,-0.09336684872395998,2018
Emiliano Buendía,1516,ESP-La Liga,Getafe,0.12328767123287672,0.12827258699969074,0.030912658225183617,Norwich,0.2924451665312754,0.1360348364343038,0.15641033009697158,2015
Emmanuel Dennis,2021,GER-Bundesliga,FC Cologne,0.19027484143763213,0.09433398287089632,0.14336553132496224,Nottingham Forest,0.5106382978723405,0.1575310916628282,0.3531072062095123,2020
