Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA
Isaac Mbenza,1718,FRA-Ligue 1,0.3444976076555024,0.32500184389749215,0.05141808938805424,-0.03192232563004399,0.8,2017,0.1882845188284519
Isaac Success,1718,ESP-La Liga,0.18072289156626506,0.07471500065581627,0.29598086533776247,-0.18997297442731367,1.0,2017,0.1773399014778325
Ismaila Sarr,1819,FRA-Ligue 1,0.4485582057671769,0.16623504187324242,0.233966057159301,0.048357106734633504,0.8,2018,0.3974484789008832
Issa Diop,1718,FRA-Ligue 1,0.08823529411764706,0.05570059935288394,0.01379894947304445,0.018735745291718675,0.8,2017,0.030303030303030304
Issa Kabore,2223,FRA-Ligue 1,0.08991008991008992,0.11145930488842291,0.08756363699277799,-0.10911285197111098,0.8,2022,0.10297482837528604
Ivan Perisic,2021,ITA-Serie A,0.4002223457476376,0.2475235947180517,0.21072760425723383,-0.05802885322764795,0.9,2020,0.3844328429046037
Iyenoma Destiny Udogie,2223,ITA-Serie A,0.23110785033015407,0.115727188205039,0.10635792611198266,0.009022736013132415,0.9,2022,0.1846532622076323
Jadon Sancho,2021,GER-Bundesliga,0.8209313490158425,0.25909913718106653,0.35618280477739556,0.20564940705738044,1.0,2020,0.47368421052631576
Jakub Kiwior,2223,ITA-Serie A,0.0,0.040154696542246286,0.03737752056442017,-0.07753221710666645,0.9,2022,0.3777544596012592
Jannik Vestergaard,1718,GER-Bundesliga,0.09375,0.061363969260128215,0.021566380746662617,0.010819649993209168,1.0,2017,0.0
Javier Manquillo,1516,FRA-Ligue 1,0.03364485981308411,0.007969878547798804,0.05268214089082223,-0.027007159625536924,0.8,2015,0.06324666198172874
Jean Michael Seri,1718,FRA-Ligue 1,0.2735562310030395,0.06375848225425465,0.14915050873263969,0.06064724001614516,0.8,2017,0.1187335092348285
Jean-Philippe Mateta,2021,GER-Bundesliga,0.7142857142857143,0.683605708680781,0.12019475930303868,-0.08951475369810535,1.0,2020,0.2510460251046025
Jean-Ricner Bellegarde,2223,FRA-Ligue 1,0.2947196070405239,0.08802567492382135,0.19690290064449148,0.009791031472211054,0.8,2022,0.2878464818763326
Jefferson Lerma,1718,ESP-La Liga,0.04201680672268907,0.04274614307904193,0.0650014791308957,-0.06573081548724857,1.0,2017,0.07123070834982193
Joachim Andersen,1920,FRA-Ligue 1,0.058785107772697576,0.06031730735417793,0.006846807371511091,-0.008379006952991444,0.8,2019,0.06588579795021962
Joel Matip,1516,GER-Bundesliga,0.17647058823529413,0.09262052438605357,0.049392620649407894,0.034457443199832655,1.0,2015,0.036689767631471665
Joelinton,1819,GER-Bundesliga,0.5025593299208935,0.37405019420601704,0.21552621280768408,-0.0870170770928076,1.0,2018,0.1322556943423953
Jonas Lössl,1617,GER-Bundesliga,0.0,0.0010133592618836297,0.003716162923309537,-0.004729522185193167,1.0,2016,0.02631578947368421
Jonny,1718,ESP-La Liga,0.08416458852867831,0.052895987243217375,0.0504032719213785,-0.01913467063591756,1.0,2017,0.06446991404011461
Jordan Ayew,1415,FRA-Ligue 1,0.5848623853211009,0.3299725699716956,0.11201678576597243,0.14287302958343284,0.8,2014,0.267402376910017
Jordan Veretout,1415,FRA-Ligue 1,0.3635798632691113,0.056031329234317646,0.2003241518704537,0.10722438216433994,0.8,2014,0.24576734025122882
